The Lamb,PG,4-Jun-18,86 min
The Last Airbender,PG,8-Apr-20,104 min
The Last Exorcism,PG-13,1-Sep-19,88 min
The Last Whistle,PG,26-Oct-19,88 min
The Life Ahead,PG-13,13-Nov-20,95 min
The Little Mermaid,PG,1-Dec-18,85 min
The Little Prince,PG,6-Nov-20,107 min
The Longshots,PG,30-Jan-19,95 min
The Look of Silence,PG-13,26-Feb-16,103 min
The Lord of the Rings: The Return of the King,PG-13,1-Jan-20,201 min
The Lord of the Rings: The Two Towers,PG-13,1-Jan-20,179 min
The Lost Husband,PG-13,10-Aug-20,110 min
The Love Guru,PG-13,20-Nov-19,87 min
The Mask of Zorro,PG-13,1-Jan-20,138 min
The Midnight Sky,PG-13,23-Dec-20,119 min
The Muppets,PG,1-Sep-20,104 min
The Naked Gun 2 1/2: The Smell of Fear,PG-13,1-Jan-20,85 min
The Naked Gun: From the Files of Police Squad!,PG-13,1-Jan-21,85 min
The Natural,PG,1-Jan-20,138 min
The Next Karate Kid,PG,1-Nov-20,107 min
The Nut Job,PG,18-Jun-20,85 min
The Nutcracker and the Four Realms,PG,28-May-19,99 min
The Other Guys,PG-13,1-Feb-20,108 min
The Pelican Brief,PG-13,1-Nov-19,141 min
The Perks of Being a Wallflower,PG-13,1-Apr-20,103 min
The Phantom of the Opera,PG-13,1-Jun-19,141 min
The Pink Panther,PG,1-Jul-19,93 min
The Pirate Fairy,G,15-Jun-14,78 min
The Pirates! Band of Misfits,PG,1-Oct-20,88 min
The Pixar Story,G,18-Nov-18,89 min
The Polar Express,G,1-Jan-21,100 min
The Prince & Me,PG,1-Oct-20,111 min
The Princess and the Frog,G,16-Jul-19,98 min
The Prom,PG-13,11-Dec-20,132 min
The Promise,PG-13,9-Aug-20,133 min
The Pursuit of Happyness,PG-13,1-Oct-19,117 min
The Rainmaker,PG-13,20-Nov-19,136 min
The Reliant,PG-13,28-Apr-20,116 min
The Ring,PG-13,1-Jan-20,116 min
The River Wild,PG-13,1-Sep-18,111 min
The Roommate,PG-13,1-Apr-20,91 min
The Rugrats Movie,G,1-Oct-19,81 min
The Sapphires,PG-13,26-Apr-19,99 min
The Sea of Trees,PG-13,8-Nov-18,111 min
The Secret Life of Pets 2,PG,27-Dec-19,86 min
The Short Game,PG,12-Dec-13,100 min
The Signal,PG-13,13-Jul-18,97 min
The Silence,PG-13,10-Apr-19,91 min
The Smurfs,PG,1-Sep-20,103 min
The Smurfs 2,PG,15-Sep-20,105 min
The Social Dilemma,PG-13,9-Sep-20,94 min
The Social Network,PG-13,1-Apr-20,121 min
The Space Between Us,PG-13,1-Jun-19,120 min
The Spiderwick Chronicles,PG,1-Mar-19,97 min
The Spy Next Door,PG,1-Nov-20,94 min
The Theory of Everything,PG-13,16-Dec-18,123 min
The Time Machine,PG-13,23-Nov-19,96 min
The Time Traveler's Wife,PG-13,1-Oct-19,107 min
The Tourist,PG-13,7-Jan-20,103 min
The Tuxedo,PG-13,1-Nov-19,99 min
The Two Popes,PG-13,20-Dec-19,126 min
The Unknown Known,PG-13,22-Feb-19,103 min
The Vatican Tapes,PG-13,20-Apr-20,91 min
The Water Horse: Legend of the Deep,PG,1-Nov-18,112 min
The Waterboy,PG-13,8-Mar-17,90 min
The Willoughbys,PG,22-Apr-20,92 min
The World Is Not Enough,PG-13,31-Dec-19,128 min
The World We Make,PG,4-Sep-19,108 min
The Young Messiah,PG-13,27-Aug-20,111 min
"Thelonious Monk: Straight, No Chaser",PG-13,1-Nov-19,89 min
Thor: Ragnarok,PG-13,5-Jun-18,131 min
Tigertail,PG,10-Apr-20,91 min
Tini: The New Life of Violetta,G,19-Feb-17,99 min
Tinker Bell and the Legend of the NeverBeast,G,17-May-15,78 min
"To Wong Foo, Thanks for Everything! Julie Newmar",PG-13,1-Aug-19,108 min
Tomorrow Never Dies,PG-13,31-Dec-19,119 min
Tortilla Soup,PG-13,15-Sep-20,104 min
Tracers,PG-13,22-Oct-19,94 min
Traitor,PG-13,1-Jul-18,114 min
Transcendence,PG-13,1-Nov-18,119 min
Tremors,PG-13,1-Jan-20,96 min
Tremors 2: Aftershocks,PG-13,1-Jan-20,100 min
Tremors 3: Back to Perfection,PG,1-Jan-20,104 min
Tremors 4: The Legend Begins,PG-13,1-Jan-20,101 min
Tremors 5:  Bloodline,PG-13,1-Jan-20,99 min
Tremors 6: A Cold Day in Hell,PG-13,1-May-18,98 min
Tremors: Shrieker Island,PG-13,20-Oct-20,102 min
True Grit,G,1-Jan-20,128 min
Turbo,PG,12-Sep-19,96 min
Unaccompanied Minors,PG,1-Oct-19,90 min
Undefeated,PG-13,18-Aug-17,113 min
Under the Shadow,PG-13,7-Jan-17,84 min
Undercover Grandpa,PG-13,1-Nov-17,94 min
Underdogs,PG,15-Jun-20,85 min
Unfinished Song,PG-13,22-Jul-19,94 min
Unknown,PG-13,1-Jan-21,113 min
Vampires vs. the Bronx,PG-13,2-Oct-20,86 min
Vantage Point,PG-13,1-Nov-19,90 min
Victor,PG-13,24-Jul-17,110 min
Wadjda,PG,19-May-20,93 min
"\"Waiting for \"\"Superman\"\"\"",PG,7-Sep-20,111 min
Walking Out,PG-13,1-Oct-19,96 min
War Horse,PG-13,6-May-19,147 min
Water & Power: A California Heist,PG,1-Feb-18,78 min
We Can Be Heroes,PG,25-Dec-20,101 min
What a Girl Wants,PG,1-May-20,105 min
What Lies Beneath,PG-13,1-Jan-20,130 min
What's Eating Gilbert Grape,PG-13,1-Jan-21,118 min
Where the Money Is,PG-13,15-Jan-20,89 min
Wild Child,PG-13,1-Nov-19,98 min
Wild Oats,PG-13,13-May-17,86 min
Wild Wild West,PG-13,1-Jan-20,106 min
Wildlife,PG-13,1-Sep-20,105 min
Willy Wonka & the Chocolate Factory,G,1-Jan-20,100 min
Winchester,PG-13,1-Jul-20,100 min
Wish Upon a Unicorn,PG,15-Sep-20,93 min
Woody Woodpecker,PG,6-Feb-18,91 min
World Trade Center,PG-13,20-Nov-19,129 min
Wyatt Earp,PG-13,1-Jan-20,191 min
XXx,PG-13,1-Jan-19,124 min
XXX: State of the Union,PG-13,1-Jan-19,101 min
Yellowbird,PG,5-Aug-15,90 min
Yes Man,PG-13,1-Jan-20,104 min
Yoga Hosers,PG-13,2-Dec-16,88 min
"Yours, Mine and Ours",PG,20-Nov-19,88 min
Zokkomon,PG,1-Nov-18,104 min
Zoom,PG,11-Jan-20,88 min
