ZipCode,Count
10025.0,13819
10023.0,11189
11201.0,10907
11215.0,10849
10024.0,10581
10011.0,10249
10128.0,10174
10009.0,9678
10314.0,8886
10312.0,8805
10028.0,7884
10019.0,7602
10029.0,7441
11385.0,7218
10306.0,7134
10003.0,7073
11209.0,7029
10016.0,7009
10014.0,6810
10021.0,6600
11238.0,6578
11234.0,6569
11375.0,6028
11206.0,5934
11211.0,5839
10002.0,5830
11217.0,5721
11218.0,5649
10010.0,5551
10036.0,5499
11101.0,5434
11221.0,5216
10022.0,5159
11231.0,5101
11214.0,5092
11222.0,5083
11377.0,5060
11226.0,5060
10463.0,5025
11229.0,5001
10001.0,4747
10065.0,4573
11235.0,4556
10465.0,4525
10462.0,4401
10309.0,4333
11379.0,4293
10461.0,4291
11220.0,4284
10027.0,4278
10305.0,4227
10308.0,4191
11372.0,4150
10075.0,4136
10473.0,4055
11216.0,4002
11249.0,3932
10012.0,3893
11207.0,3760
10038.0,3722
10304.0,3718
10467.0,3701
11373.0,3650
10033.0,3579
11205.0,3573
10013.0,3532
11228.0,3521
11223.0,3497
10301.0,3460
11357.0,3450
11225.0,3437
10031.0,3410
11378.0,3402
10032.0,3366
11106.0,3278
11102.0,3272
11105.0,3197
11224.0,3139
11233.0,3073
11208.0,3070
11230.0,3041
11236.0,3040
11365.0,3033
11368.0,3031
11237.0,3024
10034.0,2993
10469.0,2970
11358.0,2855
11374.0,2848
10026.0,2846
10472.0,2819
11204.0,2819
10456.0,2813
11104.0,2770
11364.0,2731
10040.0,2676
11355.0,2608
11361.0,2575
10035.0,2558
10458.0,2532
11414.0,2517
10460.0,2506
10310.0,2477
11103.0,2374
11354.0,2354
10471.0,2327
11213.0,2318
11212.0,2305
10457.0,2240
10468.0,2126
11421.0,2122
10451.0,2120
11203.0,2054
10452.0,2040
10017.0,2021
11435.0,2018
10454.0,1998
10453.0,1986
10466.0,1980
10455.0,1938
11367.0,1926
10459.0,1909
11232.0,1892
11417.0,1868
11418.0,1816
10039.0,1801
11219.0,1775
10303.0,1771
10018.0,1765
11210.0,1763
11434.0,1753
